Date,Open,High,Low,Close,Volume
2026-01-01,10.00,10.20,9.90,10.00,1000
2026-01-02,10.05,10.25,9.95,10.05,1000
2026-01-03,10.10,10.30,10.00,10.10,1000
2026-01-04,10.15,10.35,10.05,10.15,1000
2026-01-05,10.20,10.40,10.10,10.20,1000
2026-01-06,10.25,10.45,10.15,10.25,1000
2026-01-07,10.30,10.50,10.20,10.30,1000
2026-01-08,10.35,10.55,10.25,10.35,1000
2026-01-09,10.40,10.60,10.30,10.40,1000
2026-01-10,10.45,10.65,10.35,10.45,1000
2026-01-11,10.50,10.70,10.40,10.50,1000
2026-01-12,10.55,10.75,10.45,10.55,1000
2026-01-13,10.60,10.80,10.50,10.60,1000
2026-01-14,10.65,10.85,10.55,10.65,1000
2026-01-15,10.70,10.90,10.60,10.70,1000
2026-01-16,10.75,10.95,10.65,10.75,1000
2026-01-17,10.80,11.00,10.70,10.80,1000
2026-01-18,10.85,11.05,10.75,10.85,1000
2026-01-19,10.90,11.10,10.80,10.90,1000
2026-01-20,10.95,11.15,10.85,10.95,1000
2026-01-21,11.00,11.20,10.90,11.00,1000
2026-01-22,11.05,11.25,10.95,11.05,1000
2026-01-23,11.10,11.30,11.00,11.10,1000
2026-01-24,11.15,11.35,11.05,11.15,1000
2026-01-25,11.20,11.40,11.10,11.20,1000
2026-01-26,11.25,11.45,11.15,11.25,1000
2026-01-27,11.30,11.50,11.20,11.30,1000
2026-01-28,11.35,11.55,11.25,11.35,1000
2026-01-29,11.40,11.60,11.30,11.40,1000
2026-01-30,11.45,11.65,11.35,11.45,1000
2026-01-31,11.50,11.70,11.40,11.50,1000
2026-02-01,11.55,11.75,11.45,11.55,1000
2026-02-02,11.60,11.80,11.50,11.60,1000
2026-02-03,11.65,11.85,11.55,11.65,1000
2026-02-04,11.70,11.90,11.60,11.70,1000
2026-02-05,11.75,11.95,11.65,11.75,1000
2026-02-06,11.80,12.00,11.70,11.80,1000
2026-02-07,11.85,12.05,11.75,11.85,1000
2026-02-08,11.90,12.10,11.80,11.90,1000
2026-02-09,11.95,12.15,11.85,11.95,1000
2026-02-10,12.00,12.20,11.90,12.00,1000
2026-02-11,12.05,12.25,11.95,12.05,1000
2026-02-12,12.10,12.30,12.00,12.10,1000
2026-02-13,12.15,12.35,12.05,12.15,1000
2026-02-14,12.20,12.40,12.10,12.20,1000
2026-02-15,12.25,12.45,12.15,12.25,1000
2026-02-16,12.30,12.50,12.20,12.30,1000
2026-02-17,12.35,12.55,12.25,12.35,1000
2026-02-18,12.40,12.60,12.30,12.40,1000
2026-02-19,12.45,12.65,12.35,12.45,1000
2026-02-20,12.50,12.70,12.40,12.50,1000
2026-02-21,12.55,12.75,12.45,12.55,1000
2026-02-22,12.60,12.80,12.50,12.60,1000
2026-02-23,12.65,12.85,12.55,12.65,1000
2026-02-24,12.70,12.90,12.60,12.70,1000
2026-02-25,12.75,12.95,12.65,12.75,1000
2026-02-26,12.80,13.00,12.70,12.80,1000
2026-02-27,12.85,13.05,12.75,12.85,1000
2026-02-28,12.90,13.10,12.80,12.90,1000
2026-03-01,12.95,13.15,12.85,12.95,1000
2026-03-02,13.00,13.20,12.90,13.00,1000
2026-03-03,13.05,13.25,12.95,13.05,1000
2026-03-04,13.10,13.30,13.00,13.10,1000
2026-03-05,13.15,13.35,13.05,13.15,1000
2026-03-06,13.20,13.40,13.10,13.20,1000
2026-03-07,13.25,13.45,13.15,13.25,1000
2026-03-08,13.30,13.50,13.20,13.30,1000
2026-03-09,13.35,13.55,13.25,13.35,1000
2026-03-10,13.40,13.60,13.30,13.40,1000
2026-03-11,13.45,13.65,13.35,13.45,1000
2026-03-12,13.50,13.70,13.40,13.50,1000
2026-03-13,13.80,14.10,13.70,14.00,5000
2026-03-14,14.20,14.50,14.10,14.40,5000
2026-03-15,14.60,14.90,14.50,14.80,5000
2026-03-16,15.00,15.30,14.90,15.20,5000
2026-03-17,15.40,15.70,15.30,15.60,5000
2026-03-18,15.80,16.10,15.70,16.00,5000
2026-03-19,16.20,16.50,16.10,16.40,5000
2026-03-20,16.60,16.90,16.50,16.80,5000
2026-03-21,17.00,17.30,16.90,17.20,5000
2026-03-22,17.40,17.70,17.30,17.60,5000
2026-03-23,17.80,18.10,17.70,18.00,5000
2026-03-24,18.20,18.50,18.10,18.40,5000
2026-03-25,18.60,18.90,18.50,18.80,5000
2026-03-26,19.00,19.30,18.90,19.20,5000
2026-03-27,19.40,19.70,19.30,19.60,5000
2026-03-28,19.80,20.10,19.70,20.00,5000
2026-03-29,20.20,20.50,20.10,20.40,5000
2026-03-30,20.60,20.90,20.50,20.80,5000
2026-03-31,21.00,21.30,20.90,21.20,5000
2026-04-01,21.40,21.70,21.30,21.60,5000
